Is_Persistently_Absent,Is_Severely_Absent,Percentage_Unauthorised_Absence,sum_exclusion_days,sum_achievement_points,sum_behaviour_points,distinct_incident_count,Pupil_Premium_Indicator,SEN_Status,Current_NC_Year,Gender,Is_CS_Incident
0,0,0.0027,0.0,0,6,3,0,0,9,0,1
0,0,0.0,0.0,0,1,1,1,0,9,0,0
1,0,0.0722,0.0,151,104,13,1,0,11,1,1
0,0,0.0213,8.5,0,29,21,0,0,9,0,1
0,0,0.008,2.0,171,110,5,0,0,11,1,0
0,0,0.0053,0.0,608,8,3,0,0,9,1,0
0,0,0.011,0.0,89,0,1,0,0,13,1,0
0,0,0.0059,0.0,310,1,0,1,0,8,0,0
0,0,0.0,0.0,319,0,1,0,0,10,0,0
0,0,0.016,0.0,0,3,9,1,0,9,0,0
0,0,0.0,0.0,251,0,0,0,0,8,0,0
0,0,0.0107,0.0,425,228,8,0,0,10,0,1
0,0,0.0106,0.0,452,1,1,0,0,8,0,0
0,0,0.0,0.0,197,1,5,0,0,8,1,1
0,0,0.0272,0.0,164,0,0,0,0,11,0,0
0,0,0.0,0.0,538,0,2,0,0,10,1,0
0,0,0.0321,0.0,171,8,4,0,0,11,0,1
0,0,0.0,0.0,120,0,0,0,0,11,0,0
0,0,0.0,0.0,611,3,9,0,0,10,1,0
0,0,0.0267,0.0,482,0,3,1,0,10,0,1
0,0,0.008,0.0,917,0,8,0,0,11,0,1
0,0,0.0053,0.0,0,12,3,0,0,11,0,0
0,0,0.0027,0.0,240,9,2,1,0,11,1,0
0,0,0.0053,0.0,321,49,3,1,0,8,0,0
0,0,0.0,0.0,0,2,0,0,0,8,0,0
0,0,0.015,3.0,152,12,2,0,0,8,0,0
0,0,0.0,0.0,494,1,0,0,0,12,0,0
0,0,0.0,0.0,521,0,1,0,0,10,1,0
0,0,0.0267,0.0,395,0,1,1,0,11,0,0
0,0,0.0,0.0,0,5,0,0,0,8,0,0
1,0,0.0401,0.0,719,18,3,1,0,10,1,0
0,0,0.0053,1.0,187,77,16,1,1,11,1,1
0,0,0.0106,0.0,159,0,5,1,0,8,1,0
0,0,0.0053,7.0,0,34,10,0,0,11,0,1
0,0,0.0063,0.0,306,7,0,1,0,8,0,0
0,0,0.0,0.0,0,2,0,0,0,12,0,0
0,0,0.0,0.0,175,6,1,0,0,9,1,0
0,0,0.0053,0.0,615,0,3,0,0,11,1,0
0,0,0.0,0.0,0,0,1,0,0,9,1,0
0,0,0.043,0.0,351,12,2,1,0,10,1,0
0,0,0.0642,0.0,507,58,7,0,1,10,0,0
0,0,0.0108,0.0,592,9,3,0,0,11,1,0
0,0,0.0,0.0,77,0,1,0,0,12,1,0
0,0,0.0134,0.0,252,140,10,0,0,11,1,0
0,0,0.0053,0.0,594,19,5,0,0,10,1,0
0,0,0.0053,0.0,446,36,1,0,0,10,1,0
0,0,0.0,0.0,219,163,9,1,1,8,1,1
0,0,0.0,0.0,851,2,5,1,0,10,1,1
0,0,0.0,0.0,513,47,7,0,0,9,0,0
0,0,0.0,0.0,0,2,2,0,0,9,0,0
0,0,0.0026,0.0,0,3,9,0,0,11,0,1
0,0,0.0053,0.0,697,30,6,1,1,10,1,0
